rep,div,theta_cov50,theta_cov90,theta_mean,theta_sd,theta_rank,sigma_cov50,sigma_cov90,sigma_mean,sigma_sd,sigma_rank,tau_cov50,tau_cov90,tau_mean,tau_sd,tau_rank
70,0,1,1,1.9276162442714284,0.3756060544474143,0.5692857142857143,1,1,1.00659201635,0.11193440523030908,0.47214285714285714,1,1,0.2303434220521428,0.10727211203958939,0.7164285714285714
71,0,0,1,1.5932776744785715,0.40086757485609203,0.845,1,1,1.0508874286857144,0.12928069796500688,0.34714285714285714,1,1,0.25889025867605,0.12167865724720292,0.5978571428571429
72,0,0,1,2.393058656121428,0.4308422064499445,0.18,0,1,1.11146835205,0.1438544935960632,0.225,1,1,0.29042422650867855,0.13035612634218027,0.485
73,0,0,1,2.358913636357143,0.36800158556145396,0.15785714285714286,1,1,1.0796103730642859,0.12426603134880097,0.2557142857142857,1,1,0.2398816611339214,0.12361288055109794,0.6557142857142857
74,0,1,1,1.7844081727571428,0.3873463404244447,0.715,1,1,1.000945140342857,0.12395189407322635,0.5264285714285715,1,1,0.34681982958999996,0.09834208147664932,0.2542857142857143
75,0,0,1,1.5271499970214286,0.39911572547031965,0.8828571428571429,0,1,1.0821514684571427,0.12135598217941299,0.24571428571428572,1,1,0.23230981597472858,0.11918857845647801,0.69
76,0,0,1,1.4164167207707143,0.4278279343239609,0.9057142857142857,1,1,1.0484687607357144,0.13999873620200837,0.36142857142857143,1,1,0.28051516574178575,0.1279002654226079,0.5271428571428571
77,0,1,1,2.1331239799,0.42464474083192283,0.36,0,1,1.1028067427714283,0.10826978784855468,0.185,0,1,0.19775442801535714,0.10822406465257911,0.8178571428571428
78,0,0,1,1.6177107938857145,0.35807431077074586,0.8578571428571429,1,1,0.938370060842857,0.11957372724288785,0.6707142857142857,1,1,0.22029248170112858,0.11190380751829411,0.7321428571428571
79,0,0,1,2.446298846357143,0.41266779388679214,0.13714285714285715,1,1,1.0557556405142856,0.1114588739796497,0.31285714285714283,0,1,0.20578594492285715,0.11304203680510068,0.7707142857142857
80,0,0,0,1.0465027813026428,0.38294157393791783,0.9942857142857143,1,1,0.9728846495500001,0.12610287560024838,0.59,1,1,0.3049190530107857,0.10474431986442284,0.4342857142857143
81,0,0,1,1.6883269378928571,0.373538540581862,0.7921428571428571,1,1,0.988531791057143,0.1154864966889713,0.5378571428571428,1,1,0.2635676754937857,0.10377994532839574,0.5978571428571429
82,0,1,1,1.7831105799785714,0.39619415161021626,0.715,1,1,1.0291519750642857,0.12186768348310194,0.4135714285714286,1,1,0.27026388804664286,0.11336202300643847,0.5578571428571428
83,0,1,1,1.7580551337642858,0.37770876580849044,0.7264285714285714,1,1,1.0395024200428573,0.09802245244735693,0.33214285714285713,0,1,0.15961390467830716,0.09799329048865876,0.8971428571428571
84,0,1,1,1.7915119980857142,0.39479708741181246,0.7135714285714285,0,1,1.0947962802285713,0.09139266023570372,0.14714285714285713,0,1,0.15208418777248428,0.09527134185600379,0.92
85,0,0,1,1.783506814657143,0.2774056243319835,0.7985714285714286,0,1,0.7232068949428572,0.16661366817877932,0.9457142857142857,0,0,0.5387677060357142,0.08598078231595478,0.0064285714285714285
86,0,1,1,2.025644513157143,0.3399439515407749,0.4585714285714286,0,1,0.9032469178071427,0.13399054290349333,0.7771428571428571,0,1,0.35362917560635715,0.09854718391096345,0.24928571428571428
87,0,0,1,2.6226523125714287,0.4021368897844209,0.06785714285714285,1,1,1.06783938265,0.1172909807717241,0.26357142857142857,1,1,0.2273230854227143,0.11538808753128527,0.7078571428571429
88,0,0,0,1.30496503939,0.3684626266898834,0.9678571428571429,1,1,1.0005872557428572,0.12218198730894558,0.515,1,1,0.2909495085257857,0.108346660593185,0.4764285714285714
89,0,1,1,2.017363527292857,0.40904415615615214,0.4785714285714286,1,1,1.071976912707143,0.12036235211327219,0.2807142857142857,1,1,0.23776787323578571,0.11677470373641909,0.6635714285714286
90,0,0,1,1.7032742004857144,0.41359115852456224,0.7592857142857142,0,1,1.0991252080642857,0.09660281062073825,0.165,0,1,0.1958295457777857,0.10211851960621232,0.8292857142857143
91,0,0,0,2.6166940180000005,0.34470327167223846,0.04071428571428572,0,1,0.9047920858571429,0.12907447301630906,0.755,1,1,0.31426839887,0.09907346675650533,0.38642857142857145
92,0,1,1,1.8197048318714286,0.43409382705963656,0.6642857142857143,0,1,1.2233823806,0.14025725738471265,0.05785714285714286,1,1,0.2597399071156357,0.1379219251982794,0.5814285714285714
93,0,0,0,1.1833127587264285,0.3573054230772176,0.9914285714285714,1,1,0.9634400914071427,0.12223690853552206,0.6578571428571428,1,1,0.3150600320112786,0.1041816193232494,0.36428571428571427
94,0,0,0,1.285189732957143,0.40857848502720134,0.9621428571428572,1,1,1.0758645689142856,0.11657332469271259,0.265,1,1,0.23553075071746427,0.11300437885176756,0.6892857142857143
95,0,1,1,1.9244204483928573,0.40046602434503165,0.5778571428571428,1,1,1.0753293126928571,0.11995543967573856,0.28214285714285714,1,1,0.2689322857687857,0.11081891017481306,0.5657142857142857
96,0,1,1,1.880492107442857,0.39873451250281067,0.6128571428571429,1,1,1.07002093125,0.1313896980118575,0.315,1,1,0.3011422615799214,0.11680995287896057,0.4407142857142857
