"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"51",8,-334.608637834687,-338.80102250091,0.581333822455647,0.317386365326536,0.243258331752115,"converged","BM1_24_OU1","BM1_24","OU1","OU1",4,"exampleEM",256,677.217275669374,677.376638219174,64.7006159141239,64.7647403686866,8.92153875471774e-15,8.64003134382895e-15,"BM1",4.29694349499346,4.29694349499346
"52",9,-451.723273739619,-380.882186970517,0.680322401766545,1e-10,0.399222420396172,"converged","BM1_25_BM1","BM1_25","BM1","BM1",3,"exampleEM",256,909.446547479238,909.541785574476,0,0,0.999999999944514,0.99999999994847,"BM1",7.57185958116213,7.50773512659941
"53",7,-474.995831995371,-474.104460944196,1.94415124434118,0.368989724627567,0.396143947568248,"converged","BM1_25_OU1","BM1_25","OU1","OU1",4,"exampleEM",256,957.991663990743,958.151026540543,48.5451165115046,48.6092409660673,2.87449718599669e-11,2.78379621135698e-11,"BM1",0.322526032793007,0.144539185003396
"54",11,-473.068101587873,-472.173974095495,1.91163920641993,0.369012650156014,0.396208951712051,"converged","BM1_25_OUM","BM1_25","OUM","OUM",6,"exampleEM",256,958.136203175746,958.473552573336,48.689655696508,48.9317669988603,2.67408743038694e-11,2.36920042179378e-11,"BM1",0.991285330134474,1.16927217792409
"55",9,-365.700557371809,-294.86389277974,0.341822793580812,1e-10,0.29874711685172,"converged","BM1_26_BM1","BM1_26","BM1","BM1",3,"exampleEM",256,737.401114743618,737.496352838856,0,0,0.999999999874577,0.999999999888202,"BM1",0.397971377906742,0.397971377906742
"56",8,-385.567350869028,-380.797846066987,1.03919078920599,0.418066165355858,0.294719457320407,"converged","BM1_26_OUM","BM1_26","OUM","OUM",6,"exampleEM",256,783.134701738057,783.472051135647,45.7335869944384,45.9756982967907,1.17240527902572e-10,1.03873308331056e-10,"BM1",5.14642844076741,5.32441528855702
"57",8,-390.229558513307,-391.925343400928,0.943037492308412,0.341214397579642,0.294726456988369,"converged","BM1_26_OU1","BM1_26","OU1","OU1",4,"exampleEM",256,788.459117026614,788.618479576415,51.0580022829954,51.1221267375581,8.18268203738416e-12,7.92448827767103e-12,"BM1",5.43706846403154,5.25908161624193
"58",10,-248.235986321815,-177.402938816026,0.130001069261567,1e-10,0.217874089871599,"converged","BM1_27_BM1","BM1_27","BM1","BM1",3,"exampleEM",256,502.471972643631,502.567210738869,0,0,1,1,"BM1",13.3357307372527,13.3357307372527
"59",7,-286.85138292298,-291.678506136478,0.395141442997949,0.312044447192717,0.210887677346444,"converged","BM1_27_OUM","BM1_27","OUM","OUM",6,"exampleEM",256,585.70276584596,586.04011524355,83.2307932023291,83.4729045046814,8.44622981211895e-19,7.48322998192495e-19,"BM1",0.316026001762907,0.494012849552519
"60",8,-289.098389347756,-296.545457286435,0.385293367447471,0.289975877963795,0.211107632761409,"converged","BM1_27_OU1","BM1_27","OU1","OU1",4,"exampleEM",256,586.196778695512,586.356141245313,83.7248060518816,83.7889305064443,6.59765142459357e-19,6.38947121918876e-19,"BM1",0.968920965369421,0.790934117579809
