"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"53",1,-68.6111286774132,0.470114042043948,1e-10,0,NA,"OU1_29","BM1","BM1",3,256,143.222257354826,0.795585270858089
"54",1,-55.2587140215914,0.381589513469954,1e-10,0,NA,"OU1_3","BM1","BM1",3,256,116.517428043183,0.880529885344789
"55",1,-56.5839257596876,0.389572542970626,1e-10,0,NA,"OU1_4","BM1","BM1",3,256,119.167851519375,0.892246325204173
"56",1,-54.8535697926417,0.379181456435258,1e-10,0,NA,"OU1_5","BM1","BM1",3,256,115.707139585283,0.943935699345373
"57",1,-68.4550845245674,0.468969112726148,1e-10,0,NA,"OU1_6","BM1","BM1",3,256,142.910169049135,0.949413227980031
"58",1,-58.9592635485921,0.404303080692836,1e-10,0,NA,"OU1_7","BM1","BM1",3,256,123.918527097184,0.963862647201376
"59",1,-61.8229348413188,0.422804450907193,1e-10,0,NA,"OU1_8","BM1","BM1",3,256,129.645869682638,0.966840871322162
"60",1,-64.276289628017,0.439326628326939,1e-10,0,NA,"OU1_9","BM1","BM1",3,256,134.552579256034,0.998923199441542
"61",1,-75.6779564769401,0.676606328497022,0.748480458244606,0,NA,"OUM_0","OUM","OUM",6,256,163.35591295388,0.890921569591585
"62",1,-49.9330863922269,0.472980883946444,0.881907095217868,0,NA,"OUM_1","OUM","OUM",6,256,111.866172784454,0.975766177238591
"63",1,-50.9028749313893,0.486178665894498,0.932931223258274,0,NA,"OUM_10","OUM","OUM",6,256,113.805749862779,0.999999977200787
"64",1,-69.2578478651042,0.474888483186728,1e-10,0,NA,"OUM_11","BM1","BM1",3,256,144.515695730208,0.850268327434161
"65",1,-58.0533784798484,0.398620682658968,1e-10,0,NA,"OUM_12","BM1","BM1",3,256,122.106756959697,0.95963637753134
"66",1,-57.9911927404384,0.553309195898981,0.976610111299803,0,NA,"OUM_13","OUM","OUM",6,256,127.982385480877,0.999999999989878
"67",1,-67.4130898031336,0.461395694928212,1e-10,0,NA,"OUM_14","BM1","BM1",3,256,140.826179606267,0.988562312972093
"68",1,-58.95107106607,0.564053461114647,0.981106089480274,0,NA,"OUM_15","OUM","OUM",6,256,129.90214213214,1
"69",1,-53.9327141202729,0.508862732076842,0.918106243120639,0,NA,"OUM_16","OUM","OUM",6,256,119.865428240546,0.999999638525998
"70",1,-60.4867757128662,0.64429462512532,1.17090069459789,0,NA,"OUM_17","OUM","OUM",6,256,132.973551425732,1
"71",1,-76.753261726033,0.727802678284643,0.909921223323193,0,NA,"OUM_18","OUM","OUM",6,256,165.506523452066,0.596137872731786
"72",1,-68.796773200424,0.621268763158981,0.816510575117192,0,NA,"OUM_19","OUM","OUM",6,256,149.593546400848,0.93516690770439
"73",1,-74.9966030374159,0.679743099604616,0.821129691061829,0,NA,"OUM_2","OUM","OUM",6,256,161.993206074832,0.999999999927615
"74",1,-65.0898322849781,0.594077916673856,0.855465532544446,0,NA,"OUM_20","OUM","OUM",6,256,142.179664569956,0.987941736619457
"75",1,-62.2033358107741,0.53647964890382,0.680292774960257,0,NA,"OUM_21","OUM","OUM",6,256,136.406671621548,0.866702513511083
"76",1,-68.1601445068332,0.466812929982384,1e-10,0,NA,"OUM_22","BM1","BM1",3,256,142.320289013666,0.562097863073305
"77",1,-68.2199532740093,0.467249459615804,1e-10,0,NA,"OUM_23","BM1","BM1",3,256,142.439906548019,0.925606453116227
"78",1,-67.1565078313028,0.639375113300539,0.985358488401414,0,NA,"OUM_24","OUM","OUM",6,256,146.313015662606,0.999016025628421
"79",1,-64.6924322371885,0.607680155142107,0.946633312533009,0,NA,"OUM_25","OUM","OUM",6,256,141.384864474377,0.937861373900103
"80",1,-60.4776479206819,0.548008842915427,0.823349245538431,0,NA,"OUM_26","OUM","OUM",6,256,132.955295841364,0.93478280633079
"81",1,-60.335820623497,0.413093441277022,1e-10,0,NA,"OUM_27","BM1","BM1",3,256,126.671641246994,0.952135820227012
"82",1,-66.404020231646,0.454178189602472,1e-10,0,NA,"OUM_28","BM1","BM1",3,256,138.808040463292,0.980981592180021
"83",1,-63.6806680083981,0.435257020386229,1e-10,0,NA,"OUM_29","BM1","BM1",3,256,133.361336016796,0.790986018591578
"84",1,-57.2126463004937,0.542180757068593,0.960647001516461,0,NA,"OUM_3","OUM","OUM",6,256,126.425292600987,0.999998538124124
"85",1,-49.1018770904658,0.498030860862119,1.07404365312687,0,NA,"OUM_4","OUM","OUM",6,256,110.203754180932,1
"86",1,-83.5576312353602,0.811124663845199,0.903081526531916,0,NA,"OUM_5","OUM","OUM",6,256,179.11526247072,0.999999999999982
"87",1,-71.631680964224,0.49283365563593,1e-10,0,NA,"OUM_6","BM1","BM1",3,256,149.263361928448,0.911946285364207
"88",1,-61.0381146284478,0.552669597284298,0.834257757748817,0,NA,"OUM_7","OUM","OUM",6,256,134.076229256896,0.999999998492618
"89",1,-70.3099325022365,0.627434451269698,0.773377333022555,0,NA,"OUM_8","OUM","OUM",6,256,152.619865004473,0.999993885079102
"90",1,-57.2406334215741,0.575108885200707,1.08396271130455,0,NA,"OUM_9","OUM","OUM",6,256,126.481266843148,0.999999999999931
